"Листовые детали","","","","","","","","","","","","","",""
"№","Наименование","Код","A мм.","B мм.","a мм.","b мм.","Толщина мм.","Площадь кв.м.","Кромки","Сердцевина","Лицевая сторона","Тыльная сторона","Текстура","Кол."
"1"," Задняя стенка","00","530","62","530","62","16","0.03286"," Л В П ","Белая","Без облицовки","Без облицовки","Не определена","1"
"2"," Задняя стенка","00","530","147","530","147","16","0.07791"," Л В П ","Белая","Без облицовки","Без облицовки","Не определена","3"
"3"," Задняя стенка","00","730","62","730","62","16","0.04526"," Л В П ","Белая","Без облицовки","Без облицовки","Не определена","2"
"4"," Задняя стенка","00","730","147","730","147","16","0.10731"," Л В П ","Белая","Без облицовки","Без облицовки","Не определена","7"
"5","Дно","00","533","490","533","490","16","0.26117"," Н Л В П ","Белая","Без облицовки","Без облицовки","Не определена","4"
"6","Дно","00","733","490","733","490","16","0.35917"," Н Л В П ","Белая","Без облицовки","Без облицовки","Не определена","9"
"7","З.стенка","хдф-00","580","470","580","470","4","0.2726","Нет","Хдф 4мм","Без облицовки","Без облицовки","Не определена","1"
"8","Полка","в-26","568","348","568","348","16","0.19766","Нет","Под орех двустороняя","Без облицовки","Без облицовки","Не определена","1"
"9","Столешница","00","600","2150","600","2150","30","1.29","Нет","Столешница 30 мм","Без облицовки","Без облицовки","Не определена","1"
"10","Столешница","00","2000","600","2000","600","30","1.2","Нет","Столешница 30 мм","Без облицовки","Без облицовки","Не определена","1"
"11","Царга","в-28","568","100","568","100","16","0.0568","Нет","Под орех двустороняя","Без облицовки","Без облицовки","Не определена","1"
"12","Царга","в-28","768","100","768","100","16","0.0768","Нет","Под орех двустороняя","Без облицовки","Без облицовки","Не определена","2"
"13","Царга","в-38","568","100","568","100","16","0.0568","Нет","Под орех двустороняя","Без облицовки","Без облицовки","Не определена","1"
"14","бок","в-20","315","1100","315","1100","16","0.3465","Нет","Под орех двустороняя","Без облицовки","Без облицовки","Не определена","3"
"15","бок","в-20","350","1100","350","1100","16","0.385","Нет","Под орех двустороняя","Без облицовки","Без облицовки","Не определена","6"
"16","бок","в-24","350","490","350","490","16","0.1715","Нет","Под орех двустороняя","Без облицовки","Без облицовки","Не определена","2"
