"Листовые детали,"""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"№,""Наименование"",""Код"",""A мм."",""B мм."",""a мм."",""b мм."",""Толщина мм."",""Площадь кв.м."",""Кромки"",""Сердцевина"",""Лицевая сторона"",""Тыльная сторона"",""Текстура"",""Кол."""
"1,""Полка"",""07"",""734"",""599"",""734"",""599"",""4"",""0.43967"",""Нет"",""Зеркало 4 мм"",""Без облицовки"",""Без облицовки"",""Не определена"",""8"""
"2,""Полка"",""07"",""734"",""599"",""734"",""599"",""10"",""0.43967"",""Нет"",""Дуб Французский"",""Без облицовки"",""Без облицовки"",""Не определена"",""8"""
"3,""дно тумбы"",""03"",""584"",""710"",""582"",""710"",""16"",""0.41464"","" Л П "",""ЛДСП Серый"",""Без облицовки"",""Без облицовки"",""Поперёк"",""1"""
"4,""дно тумбы"",""03"",""600"",""660"",""598"",""660"",""16"",""0.396"","" Н Л В П "",""ЛДСП Серый"",""Без облицовки"",""Без облицовки"",""Поперёк"",""1"""
"5,""добор"",""01-18"",""2530"",""100"",""2530"",""96"",""10"",""0.253"","" Н Л В П "",""Дуб Французский"",""Без облицовки"",""Без облицовки"",""Вдоль"",""2"""
"6,""жесткость"",""03-15"",""200"",""660"",""200"",""660"",""16"",""0.132"","" Л П "",""ЛДСП Серый"",""Без облицовки"",""Без облицовки"",""Поперёк"",""1"""
"7,""жесткость 01"",""01-16"",""200"",""710"",""200"",""710"",""16"",""0.142"","" Л "",""ЛДСП Серый"",""Без облицовки"",""Без облицовки"",""Поперёк"",""1"""
"8,""жесткость 01"",""01-16"",""200"",""710"",""200"",""710"",""16"",""0.142"","" Л П "",""ЛДСП Серый"",""Без облицовки"",""Без облицовки"",""Поперёк"",""1"""
"9,""жесткость 04"",""01-16"",""200"",""765"",""200"",""765"",""16"",""0.153"","" Л "",""ЛДСП Серый"",""Без облицовки"",""Без облицовки"",""Поперёк"",""1"""
"10,""жесткость 04"",""01-16"",""200"",""765"",""200"",""765"",""16"",""0.153"","" Л П "",""ЛДСП Серый"",""Без облицовки"",""Без облицовки"",""Поперёк"",""2"""
"11,""клав"",""02-01"",""50"",""350"",""50"",""350"",""16"",""0.0175"","" Н Л В П "",""ЛДСП Серый"",""Без облицовки"",""Без облицовки"",""Поперёк"",""4"""
"12,""клав"",""02-01"",""400"",""820"",""398"",""820"",""16"",""0.328"","" Л П "",""ЛДСП Серый"",""Без облицовки"",""Без облицовки"",""Поперёк"",""1"""
"13,""клав стол"",""02-01"",""368"",""700"",""364"",""696"",""16"",""0.2576"","" Н Л В П "",""ЛДСП Серый"",""Без облицовки"",""Без облицовки"",""Поперёк"",""1"""
"14,""клав фасад"",""02-01"",""80"",""700"",""78"",""696"",""16"",""0.056"","" Н Л В П "",""ЛДСП Серый"",""Без облицовки"",""Без облицовки"",""Поперёк"",""1"""
"15,""короб планка верх"",""01-17"",""68"",""1520"",""68"",""1520"",""16"",""0.10336"",""Нет"",""ЛДСП Серый"",""Без облицовки"",""Без облицовки"",""Поперёк"",""4"""
"16,""короб планка верх"",""01-17"",""100"",""1520"",""100"",""1520"",""16"",""0.152"","" Н Л В П "",""ЛДСП Серый"",""Без облицовки"",""Без облицовки"",""Поперёк"",""2"""
"17,""короб планка верх"",""01-17"",""100"",""1522"",""100"",""1522"",""16"",""0.1522"","" Н Л В П "",""ЛДСП Серый"",""Без облицовки"",""Без облицовки"",""Поперёк"",""2"""
